name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"13617, USA",2019-12-27,45.3,28.4,36.2,40.8,21.4,31.6,32.6,86.82,0.21,,37.5,,0.21,2.08,27.7,13.5,188.5,1017.4,57.5,88.3,,,0,,2019-12-27T07:36:35,2019-12-27T16:26:42,0.01,"Snow, Partially cloudy",Partly cloudy throughout the day with snow in the morning and afternoon.,snow,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2019-12-28,39.1,28,35.4,32.2,22.5,29,28.7,77.06,0,,4.17,,1.02,1.18,19.5,11.2,237.4,1022.3,30,91.3,,,0,,2019-12-28T07:36:50,2019-12-28T16:27:26,0.03,Partially cloudy,Partly cloudy throughout the day.,snow,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2019-12-29,33.7,20.7,28.2,31.9,18,23.6,23.4,82.45,0.04,,25,,0.09,1.18,33.9,13.9,118.9,1022.4,22.1,90.7,,,0,,2019-12-29T07:37:03,2019-12-29T16:28:12,0.05,"Snow, Partially cloudy",Partly cloudy throughout the day with late afternoon snow.,snow,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2019-12-30,33.7,26.9,30.5,30.4,16,22.6,27.8,89.36,0.35,,91.67,,1.13,1.34,45,14.9,58.8,1009.8,50.1,88.7,,,0,,2019-12-30T07:37:14,2019-12-30T16:29:00,0.09,"Snow, Partially cloudy",Partly cloudy throughout the day with a chance of snow throughout the day.,snow,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2019-12-31,35.1,31.5,33.1,34.4,23.2,29.3,30.9,91.6,0.48,,58.33,,0.65,1.35,23,11.5,148.8,1001.9,48.7,86.1,,,0,,2019-12-31T07:37:22,2019-12-31T16:29:51,0.13,"Snow, Partially cloudy",Partly cloudy throughout the day with a chance of snow throughout the day.,snow,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-01-01,33.8,30.4,32.1,25.8,21.8,23.8,27.2,82.21,0.05,,8.33,,0.38,1.73,23,12.1,239.3,1002.1,49.6,88.5,,,0,,2020-01-01T07:37:27,2020-01-01T16:30:43,0.17,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.,snow,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-01-02,42,28.4,36,36.6,21.4,29.5,26.5,68.85,0,,0,,0.23,1.96,26.4,12.9,207.4,1005.9,39.5,90,,,0,,2020-01-02T07:37:29,2020-01-02T16:31:38,0.22,Partially cloudy,Partly cloudy throughout the day.,snow,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-01-03,43,38,40.8,39,34.1,36.2,34.2,77.49,0,,0,,3.09,3.57,19.5,10.3,235.2,1006.4,57.4,90,,,0,,2020-01-03T07:37:30,2020-01-03T16:32:34,0.26,Partially cloudy,Partly cloudy throughout the day.,snow,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-01-04,37.2,30.6,33,35.7,23.9,30.3,29.2,85.81,0.04,,29.17,,1.41,1.41,,7.3,201.3,1007.1,57.3,87.5,,,0,,2020-01-04T07:37:27,2020-01-04T16:33:32,0.31,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-01-05,29.8,14.2,22.3,20.9,9.9,14.5,15.3,74.5,0,,0,,0.79,1.89,23.5,13.1,260.8,1012,37.9,90.1,,,0,,2020-01-05T07:37:22,2020-01-05T16:34:32,0.36,Partially cloudy,Partly cloudy throughout the day.,snow,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-01-06,30.6,14.4,23.8,25.8,9,17.2,18.9,81.38,0.07,,33.33,,0.15,2.03,27.7,10.9,160.6,1009.7,44.5,87.3,,,0,,2020-01-06T07:37:14,2020-01-06T16:35:34,0.4,"Snow, Partially cloudy",Partly cloudy throughout the day with a chance of snow throughout the day.,snow,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-01-07,32.7,24.3,28.7,32.2,18.7,24.6,20.5,71.2,0,,4.17,,0.74,2.77,20.8,10.5,220.8,1013.5,43.5,90.5,,,0,,2020-01-07T07:37:04,2020-01-07T16:36:37,0.44,Partially cloudy,Partly cloudy throughout the day.,snow,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-01-08,30.8,9,24.6,28.7,-5.8,15.2,16.2,70.86,0.01,,8.33,,0.43,3.2,32,21.5,272,1013.7,40.6,77.5,,,0,,2020-01-08T07:36:51,2020-01-08T16:37:42,0.47,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-01-09,16.6,-0.7,8.8,7.3,-9.2,-1,-1.4,63,0,,0,,0,3.18,33.3,10.7,195,1037.6,11.8,92.5,,,0,,2020-01-09T07:36:36,2020-01-09T16:38:48,0.49,Clear,Clear conditions throughout the day.,clear-day,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-01-10,41.1,19.2,34.8,37.8,11.5,28,27.4,74.76,0.03,,25,,0,2.38,27.3,17,187.3,1024.2,51.6,91.3,,,0,,2020-01-10T07:36:18,2020-01-10T16:39:56,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-01-11,52.5,34.3,42.5,52.5,24.7,38.9,40.5,92.5,1.28,,95.83,,3.68,3.98,30,15.3,146.5,1014.4,48.1,88.6,,,0,,2020-01-11T07:35:58,2020-01-11T16:41:05,0.51,"Snow, Partially cloudy",Partly cloudy throughout the day with a chance of snow throughout the day.,snow,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-01-12,32.8,15.6,22.9,23,7.3,13.6,19.6,86.93,0.44,,50,,0.47,1.09,27.8,16.2,170.9,1019.4,51.1,94,,,0,,2020-01-12T07:35:35,2020-01-12T16:42:16,0.52,"Snow, Partially cloudy",Partly cloudy throughout the day with a chance of snow throughout the day.,snow,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-01-13,22.7,15.8,20,22.6,9.2,14.1,16.5,86.04,0,,4.17,,0.8,1.17,,7.4,97.8,1030.3,59.5,78.2,,,0,,2020-01-13T07:35:10,2020-01-13T16:43:28,0.55,Partially cloudy,Partly cloudy throughout the day.,snow,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-01-14,25.4,19.9,22.8,22.7,12.7,16,19.7,87.94,0.02,,8.33,,0.01,1.18,,10.3,98.9,1024.6,58.6,90.5,,,0,,2020-01-14T07:34:42,2020-01-14T16:44:41,0.59,"Snow, Partially cloudy",Partly cloudy throughout the day with late afternoon snow.,snow,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-01-15,35,23.2,30.8,31.8,18.6,26.6,28,89.38,0.03,,12.5,,1.77,2.95,,7.1,224,1019.6,49.7,108.3,,,0,,2020-01-15T07:34:12,2020-01-15T16:45:55,0.64,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.,snow,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-01-16,31.5,8.6,24.7,31.5,-6.2,15.3,19.8,81.53,0.14,,45.83,,1.1,4.05,26.4,15.5,240.3,1018.5,36,105.7,,,0,,2020-01-16T07:33:39,2020-01-16T16:47:10,0.69,"Snow, Partially cloudy",Partly cloudy throughout the day with a chance of snow throughout the day.,snow,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-01-17,6.9,-5.2,0,-2.4,-18.4,-11.8,-8.8,65.84,0,,4.17,,2.86,6.91,22.5,13.6,287.4,1042.2,3.2,94,,,0,,2020-01-17T07:33:04,2020-01-17T16:48:27,0.75,Clear,Clear conditions throughout the day.,snow,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-01-18,11.6,-4,6.4,3.5,-6.1,-2.8,0.5,76.42,0.11,,29.17,,4.7,9.76,29.8,15.2,78.7,1025.1,31.8,84.8,,,0,,2020-01-18T07:32:27,2020-01-18T16:49:44,0.81,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-01-19,14.4,5.3,12.1,11.7,-7,2.2,6.3,77.37,0.14,,29.17,,2.82,12.58,27.7,11.4,248.9,1009.5,50.3,84.4,,,0,,2020-01-19T07:31:47,2020-01-19T16:51:02,0.86,"Snow, Partially cloudy",Partly cloudy throughout the day with snow clearing later.,snow,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-01-20,16.4,-1.8,6.2,6.5,-12.9,-4.4,-1.9,69.62,0,,4.17,,0,12.13,,8.9,267,1027.9,0.7,124.1,,,0,,2020-01-20T07:31:05,2020-01-20T16:52:21,0.91,Clear,Clear conditions throughout the day.,clear-day,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-01-21,24.7,-10.5,8.9,13.3,-11.1,0.9,2.3,74.92,0,,0,,0,11.61,18.9,12.7,238.2,1030.4,18.9,91.7,,,0,,2020-01-21T07:30:21,2020-01-21T16:53:41,0.95,Clear,Clear conditions throughout the day.,clear-day,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-01-22,31.8,20.9,27,21.3,11.7,17.2,19.4,73.05,0,,0,,0,9.11,32.6,19.5,216.5,1026.5,16.8,91.5,,,0,,2020-01-22T07:29:34,2020-01-22T16:55:01,0.98,Clear,Clear conditions throughout the day.,clear-day,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-01-23,36.2,25.3,29.8,32.8,18,24.7,18,61.71,0,,0,,0,8.29,,11.1,182.3,1026.6,7.1,91.6,,,0,,2020-01-23T07:28:46,2020-01-23T16:56:22,0.99,Clear,Clear conditions throughout the day.,clear-day,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-01-24,35.9,19.7,29.1,28.7,19.7,22.9,20.7,71.14,0,,0,,0,7.35,23,11.5,57,1026.9,30.9,91.5,,,0,,2020-01-24T07:27:55,2020-01-24T16:57:44,1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-01-25,32.9,28,30.7,27.6,20.5,23.9,26.3,83.56,0.46,,45.83,,0.12,5.66,30,9.9,71,1016.4,29.4,84.2,,,0,,2020-01-25T07:27:02,2020-01-25T16:59:06,0,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-01-26,35,32.1,33.8,32.3,25.3,26.9,31.8,92.53,0.31,,79.17,,0.06,5.3,26.4,12.3,226,1003.9,59.2,87.4,,,0,,2020-01-26T07:26:07,2020-01-26T17:00:29,0.01,"Snow, Partially cloudy",Partly cloudy throughout the day with a chance of snow throughout the day.,snow,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-01-27,34.6,31.1,33.2,28.9,24,26.8,29.8,87.36,0.03,,37.5,,0.04,5.34,,8.9,274,1004,57.3,79.4,,,0,,2020-01-27T07:25:09,2020-01-27T17:01:52,0.03,"Snow, Partially cloudy",Partly cloudy throughout the day with snow clearing later.,snow,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-01-28,30.4,22.7,26.9,23.5,13.6,19,21.5,79.86,0,,0,,0,5.13,,9.6,307.8,1012.3,52.1,90.3,,,0,,2020-01-28T07:24:10,2020-01-28T17:03:15,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-01-29,22.3,5,14.9,15.3,1.9,8.1,7.4,72.48,0,,4.17,,0,4.38,,8.8,293.3,1023.4,8.2,91.4,,,0,,2020-01-29T07:23:09,2020-01-29T17:04:39,0.09,Clear,Clear conditions throughout the day.,clear-day,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-01-30,22.8,-1.3,10.6,22.8,-1.3,9.3,3.8,74.81,0,,0,,0,4,,5.4,97.2,1027.8,0.6,91.7,,,0,,2020-01-30T07:22:06,2020-01-30T17:06:04,0.13,Clear,Clear conditions throughout the day.,clear-day,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-01-31,25.8,3.3,15.7,25.1,3.3,15.4,9.5,76.57,0,,4.17,,0.01,4.01,,3.1,79.4,1025.1,35.4,91,,,0,,2020-01-31T07:21:01,2020-01-31T17:07:28,0.18,Partially cloudy,Partly cloudy throughout the day.,snow,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-02-01,30.7,12.8,21.5,30.7,12.8,21.4,17.3,84.05,0.01,,4.17,,1.18,5.18,,3.2,200.2,1014.6,52.7,87.8,,,0,,2020-02-01T07:19:54,2020-02-01T17:08:53,0.22,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,snow,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-02-02,32,18.6,25.2,32,18.6,24.2,22.3,88.72,0.01,,8.33,,0.21,5.35,,5.9,190.5,1000.4,51.4,87.1,,,0,,2020-02-02T07:18:46,2020-02-02T17:10:18,0.27,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-02-03,38.4,22.3,31.6,32.1,22.3,27.4,27.6,86.03,0.02,,8.33,,0.13,5.48,24.2,12.9,235.4,1006.7,26.4,121.1,,,0,,2020-02-03T07:17:35,2020-02-03T17:11:42,0.32,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.,snow,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-02-04,36.2,24.2,30.4,33,20.4,27.4,24.5,79.31,0,,0,,0.67,4.67,,6.5,182.9,1010,43.2,80.2,,,0,,2020-02-04T07:16:23,2020-02-04T17:13:08,0.37,Partially cloudy,Partly cloudy throughout the day.,snow,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-02-05,30.9,13.2,19.6,25.8,5.2,13.3,7,58.07,0,,0,,0.91,5.58,22.5,11.6,234,1019.3,16.3,112.7,,,0,,2020-02-05T07:15:09,2020-02-05T17:14:33,0.41,Clear,Clear conditions throughout the day.,snow,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-02-06,20.5,16.7,18.9,16.8,6.5,9,14.1,81.45,0.09,,54.17,,3.41,8.99,21.9,13.4,50.1,1007,51.7,85.4,,,0,,2020-02-06T07:13:53,2020-02-06T17:15:58,0.45,"Snow, Partially cloudy",Partly cloudy throughout the day with a chance of snow throughout the day.,snow,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-02-07,21.8,9.2,18.8,11.1,-5.6,6.1,14.7,83.69,0.34,,62.5,,6.99,12.95,26.5,15.2,171.5,994.7,44.2,60.9,,,0,,2020-02-07T07:12:36,2020-02-07T17:17:23,0.48,"Snow, Partially cloudy",Partly cloudy throughout the day with a chance of snow throughout the day.,snow,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-02-08,8.2,-13.9,0.3,-0.7,-15.1,-9.4,-8.9,65.23,0,,4.17,,3.3,16.25,21.9,9.8,227.9,1021.6,14.9,91.2,,,0,,2020-02-08T07:11:17,2020-02-08T17:18:48,0.5,Clear,Clear conditions throughout the day.,snow,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-02-09,21.9,-19.9,3.5,20.1,-19.9,0.6,-4.2,70.72,0,,4.17,,0,15.42,,6,75.2,1030.6,26.9,91.7,,,0,,2020-02-09T07:09:57,2020-02-09T17:20:13,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-02-10,34.3,13.8,26.8,31.7,13.8,22.7,23.6,87.99,0.2,,50,,0,14.97,25.3,7.9,201.5,1017.1,42.2,87.3,,,0,,2020-02-10T07:08:35,2020-02-10T17:21:38,0.52,"Snow, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,snow,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-02-11,32.9,14,27.3,31.7,14,24.3,22,80.84,0,,0,,0,10.83,19.7,9.2,225.7,1014.3,51.2,88.7,,,0,,2020-02-11T07:07:12,2020-02-11T17:23:03,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-02-12,34.1,26.5,30.8,25.9,18.5,22.1,20.5,65.63,0,,0,,1.14,10.38,29.1,17.7,229.3,1015.9,28.3,90.7,,,0,,2020-02-12T07:05:47,2020-02-12T17:24:27,0.57,Partially cloudy,Partly cloudy throughout the day.,snow,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-02-13,32.7,4.6,21.8,30.5,-9.6,14.2,16.1,78.7,0.06,,37.5,,0.74,11.12,21.8,14.5,299.7,1009.3,52.7,86,,,0,,2020-02-13T07:04:21,2020-02-13T17:25:52,0.62,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-02-14,4.6,-11.6,-3.7,-4.9,-24.1,-14.5,-14.3,60.48,0.01,,8.33,,2.19,13.3,21.9,11,281.7,1031.2,1.7,92,,,0,,2020-02-14T07:02:54,2020-02-14T17:27:16,0.67,Snow,Clear conditions throughout the day with snow.,snow,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-02-15,28.1,-6.1,14.2,17,-14.4,3.3,2.1,60.01,0,,0,,0,13.22,26,16.1,180.8,1028.2,36,91.4,,,0,,2020-02-15T07:01:25,2020-02-15T17:28:40,0.73,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-02-16,36.4,28.9,32.2,27.6,18.5,23,22.3,66.86,0,,4.17,,0,13.06,28,15.6,225,1015.6,49.1,90.3,,,0,,2020-02-16T06:59:55,2020-02-16T17:30:04,0.78,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-02-17,29.4,3.7,17.2,20.2,3.7,11.7,3.1,54.44,0,,0,,0,12.53,19.4,10.8,190.8,1026.9,20.1,91.7,,,0,,2020-02-17T06:58:24,2020-02-17T17:31:28,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-02-18,41.8,5.1,26.2,33.1,-3.6,16.6,18.3,72.05,0.05,,16.67,,0,11.71,36.2,20.5,144.3,1017.4,48.2,74.5,,,0,,2020-02-18T06:56:51,2020-02-18T17:32:51,0.88,"Snow, Partially cloudy",Partly cloudy throughout the day with morning rain.,snow,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-02-19,35.9,9.9,23.6,27.2,7.1,14.2,8.2,51.98,0,,0,,0,9.8,30.3,19.5,285.5,1023.3,29.6,92.4,,,0,,2020-02-19T06:55:18,2020-02-19T17:34:15,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-02-20,13.7,-2,8.8,10.9,-2,2.8,-1.9,62.25,0,,0,,0,8.43,,10.3,243.6,1032.2,27.4,91.6,,,0,,2020-02-20T06:53:43,2020-02-20T17:35:37,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-02-21,29,-7.5,15.5,16.1,-14.8,5.4,4.8,63.09,0,,0,,3.09,11.12,32.6,21.2,230.2,1027.6,12.9,91.6,,,0,,2020-02-21T06:52:07,2020-02-21T17:37:00,0.98,Clear,Clear conditions throughout the day.,snow,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-02-22,36.9,26,30.9,27.1,14.7,21.3,19.4,62.53,0,,0,,0,10.51,27.2,17.6,226.8,1019.3,7.2,91,,,0,,2020-02-22T06:50:30,2020-02-22T17:38:23,1,Clear,Clear conditions throughout the day.,clear-day,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-02-23,42.2,28.8,34.8,35.8,20.8,28.2,23.2,63.74,0,,0,,0,9.63,23,14.8,213.5,1016.6,2.3,90.8,,,0,,2020-02-23T06:48:53,2020-02-23T17:39:45,1,Clear,Clear conditions throughout the day.,clear-day,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-02-24,46.2,31.5,39.8,40.9,28,34.6,25.8,57.93,0,,0,,0,8.3,30,15.2,222,1012.4,11.8,90.5,,,0,,2020-02-24T06:47:14,2020-02-24T17:41:07,0,Clear,Clear conditions throughout the day.,clear-day,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-02-25,39.1,30.5,35,34.2,27.2,31.5,26.2,70.64,0.01,,4.17,,0,6.38,,9.5,36.8,1014.8,39.5,90.5,,,0,,2020-02-25T06:45:34,2020-02-25T17:42:28,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-02-26,35.4,28,30.8,29,17.8,21.6,24,76.29,0.04,,20.83,,0.63,4.72,27.7,13.5,54,1014.2,56.8,90.8,,,0,,2020-02-26T06:43:54,2020-02-26T17:43:49,0.04,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-02-27,35.4,20.3,28.2,27.4,5.9,16.8,24.4,85.48,0.65,,37.5,,0.44,5.15,36,21.7,176.2,994.9,50.9,80.6,,,0,,2020-02-27T06:42:13,2020-02-27T17:45:10,0.06,"Snow, Partially cloudy",Partly cloudy throughout the day with snow clearing later.,snow,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-02-28,24.4,13.1,18.7,12.9,-2.4,5.8,9.8,68.24,0.01,,8.33,,4.4,9.55,31.5,18.8,268.8,1002.9,44.3,87.6,,,0,,2020-02-28T06:40:30,2020-02-28T17:46:31,0.1,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-02-29,17.9,4.3,11.1,8.7,-6.5,0.9,3.1,70.47,0.01,,8.33,,0.3,9.84,18.3,10,272.2,1012.3,30.9,90.9,,,0,,2020-02-29T06:38:48,2020-02-29T17:47:51,0.14,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
