"","Name","Type","HP","Attack","Defense","Speed","SpAtk","SpDef","Generation","Legendary","height","weight","base_experience"
"83","Farfetch'd","Normal",52,65,55,60,58,62,1,FALSE,8,150,132
"84","Doduo","Normal",35,85,45,75,35,35,1,FALSE,14,392,62
"85","Dodrio","Normal",60,110,70,100,60,60,1,FALSE,18,852,165
"86","Seel","Water",65,45,55,45,45,70,1,FALSE,11,900,65
"87","Dewgong","Water",90,70,80,70,70,95,1,FALSE,17,1200,166
"88","Grimer","Poison",80,80,50,25,40,50,1,FALSE,9,300,65
"89","Muk","Poison",105,105,75,50,65,100,1,FALSE,12,300,175
"90","Shellder","Water",30,65,100,40,45,25,1,FALSE,3,40,61
"91","Cloyster","Water",50,95,180,70,85,45,1,FALSE,15,1325,184
"92","Gastly","Ghost",30,35,30,80,100,35,1,FALSE,13,1,62
"93","Haunter","Ghost",45,50,45,95,115,55,1,FALSE,16,1,142
"94","Gengar","Ghost",60,65,60,110,130,75,1,FALSE,15,405,225
"95","Onix","Rock",35,45,160,70,30,45,1,FALSE,88,2100,77
"96","Drowzee","Psychic",60,48,45,42,43,90,1,FALSE,10,324,66
"97","Hypno","Psychic",85,73,70,67,73,115,1,FALSE,16,756,169
"98","Krabby","Water",30,105,90,50,25,25,1,FALSE,4,65,65
"99","Kingler","Water",55,130,115,75,50,50,1,FALSE,13,600,166
"100","Voltorb","Electric",40,30,50,100,55,55,1,FALSE,5,104,66
"101","Electrode","Electric",60,50,70,140,80,80,1,FALSE,12,666,172
"102","Exeggcute","Grass",60,40,80,40,60,45,1,FALSE,4,25,65
"103","Exeggutor","Grass",95,95,85,55,125,65,1,FALSE,20,1200,186
"104","Cubone","Ground",50,50,95,35,40,50,1,FALSE,4,65,64
"105","Marowak","Ground",60,80,110,45,50,80,1,FALSE,10,450,149
"106","Hitmonlee","Fighting",50,120,53,87,35,110,1,FALSE,15,498,159
"107","Hitmonchan","Fighting",50,105,79,76,35,110,1,FALSE,14,502,159
"108","Lickitung","Normal",90,55,75,30,60,75,1,FALSE,12,655,77
"109","Koffing","Poison",40,65,95,35,60,45,1,FALSE,6,10,68
"110","Weezing","Poison",65,90,120,60,85,70,1,FALSE,12,95,172
"111","Rhyhorn","Ground",80,85,95,25,30,30,1,FALSE,10,1150,69
"112","Rhydon","Ground",105,130,120,40,45,45,1,FALSE,19,1200,170
"113","Chansey","Normal",250,5,5,50,35,105,1,FALSE,11,346,395
"114","Tangela","Grass",65,55,115,60,100,40,1,FALSE,10,350,87
"115","Kangaskhan","Normal",105,95,80,90,40,80,1,FALSE,22,800,172
"116","Horsea","Water",30,40,70,60,70,25,1,FALSE,4,80,59
"117","Seadra","Water",55,65,95,85,95,45,1,FALSE,12,250,154
"118","Goldeen","Water",45,67,60,63,35,50,1,FALSE,6,150,64
"119","Seaking","Water",80,92,65,68,65,80,1,FALSE,13,390,158
"120","Staryu","Water",30,45,55,85,70,55,1,FALSE,8,345,68
"121","Starmie","Water",60,75,85,115,100,85,1,FALSE,11,800,182
"122","Mr. Mime","Psychic",40,45,65,90,100,120,1,FALSE,13,545,161
"123","Scyther","Bug",70,110,80,105,55,80,1,FALSE,15,560,100
"124","Jynx","Ice",65,50,35,95,115,95,1,FALSE,14,406,159
"125","Electabuzz","Electric",65,83,57,105,95,85,1,FALSE,11,300,172
"126","Magmar","Fire",65,95,57,93,100,85,1,FALSE,13,445,173
"127","Pinsir","Bug",65,125,100,85,55,70,1,FALSE,15,550,175
"128","Tauros","Normal",75,100,95,110,40,70,1,FALSE,14,884,172
"129","Magikarp","Water",20,10,55,80,15,20,1,FALSE,9,100,40
"130","Gyarados","Water",95,125,79,81,60,100,1,FALSE,65,2350,189
"131","Lapras","Water",130,85,80,60,85,95,1,FALSE,25,2200,187
"132","Ditto","Normal",48,48,48,48,48,48,1,FALSE,3,40,101
"133","Eevee","Normal",55,55,50,55,45,65,1,FALSE,3,65,65
"134","Vaporeon","Water",130,65,60,65,110,95,1,FALSE,10,290,184
"135","Jolteon","Electric",65,65,60,130,110,95,1,FALSE,8,245,184
"136","Flareon","Fire",65,130,60,65,95,110,1,FALSE,9,250,184
"137","Porygon","Normal",65,60,70,40,85,75,1,FALSE,8,365,79
"138","Omanyte","Rock",35,40,100,35,90,55,1,FALSE,4,75,71
"139","Omastar","Rock",70,60,125,55,115,70,1,FALSE,10,350,173
"140","Kabuto","Rock",30,80,90,55,55,45,1,FALSE,5,115,71
"141","Kabutops","Rock",60,115,105,80,65,70,1,FALSE,13,405,173
"142","Aerodactyl","Rock",80,105,65,130,60,75,1,FALSE,18,590,180
"143","Snorlax","Normal",160,110,65,30,65,110,1,FALSE,21,4600,189
"144","Articuno","Ice",90,85,100,85,95,125,1,TRUE,17,554,261
"145","Zapdos","Electric",90,90,85,100,125,90,1,TRUE,16,526,261
"146","Moltres","Fire",90,100,90,90,125,85,1,TRUE,20,600,261
"147","Dratini","Dragon",41,64,45,50,50,50,1,FALSE,18,33,60
"148","Dragonair","Dragon",61,84,65,70,70,70,1,FALSE,40,165,147
"149","Dragonite","Dragon",91,134,95,80,100,100,1,FALSE,22,2100,270
"150","Mewtwo","Psychic",106,110,90,130,154,90,1,TRUE,20,1220,306
"151","Mew","Psychic",100,100,100,100,100,100,1,FALSE,4,40,270
"152","Chikorita","Grass",45,49,65,45,49,65,2,FALSE,9,64,64
"153","Bayleef","Grass",60,62,80,60,63,80,2,FALSE,12,158,142
"154","Meganium","Grass",80,82,100,80,83,100,2,FALSE,18,1005,236
"155","Cyndaquil","Fire",39,52,43,65,60,50,2,FALSE,5,79,62
"156","Quilava","Fire",58,64,58,80,80,65,2,FALSE,9,190,142
"157","Typhlosion","Fire",78,84,78,100,109,85,2,FALSE,17,795,240
"158","Totodile","Water",50,65,64,43,44,48,2,FALSE,6,95,63
"159","Croconaw","Water",65,80,80,58,59,63,2,FALSE,11,250,142
"160","Feraligatr","Water",85,105,100,78,79,83,2,FALSE,23,888,239
"161","Sentret","Normal",35,46,34,20,35,45,2,FALSE,8,60,43
"162","Furret","Normal",85,76,64,90,45,55,2,FALSE,18,325,145
"163","Hoothoot","Normal",60,30,30,50,36,56,2,FALSE,7,212,52
"164","Noctowl","Normal",100,50,50,70,76,96,2,FALSE,16,408,158
"165","Ledyba","Bug",40,20,30,55,40,80,2,FALSE,10,108,53
"166","Ledian","Bug",55,35,50,85,55,110,2,FALSE,14,356,137
"167","Spinarak","Bug",40,60,40,30,40,40,2,FALSE,5,85,50
"168","Ariados","Bug",70,90,70,40,60,60,2,FALSE,11,335,140
"169","Crobat","Poison",85,90,80,130,70,80,2,FALSE,18,750,241
"170","Chinchou","Water",75,38,38,67,56,56,2,FALSE,5,120,66
"171","Lanturn","Water",125,58,58,67,76,76,2,FALSE,12,225,161
"172","Pichu","Electric",20,40,15,60,35,35,2,FALSE,3,20,41
"173","Cleffa","Fairy",50,25,28,15,45,55,2,FALSE,3,30,44
"174","Igglybuff","Normal",90,30,15,15,40,20,2,FALSE,3,10,42
"175","Togepi","Fairy",35,20,65,20,40,65,2,FALSE,3,15,49
"176","Togetic","Fairy",55,40,85,40,80,105,2,FALSE,6,32,142
"177","Natu","Psychic",40,50,45,70,70,45,2,FALSE,2,20,64
"178","Xatu","Psychic",65,75,70,95,95,70,2,FALSE,15,150,165
"179","Mareep","Electric",55,40,40,35,65,45,2,FALSE,6,78,56
"180","Flaaffy","Electric",70,55,55,45,80,60,2,FALSE,8,133,128
"181","Ampharos","Electric",90,75,85,55,115,90,2,FALSE,14,615,230
"182","Bellossom","Grass",75,80,95,50,90,100,2,FALSE,4,58,221
"183","Marill","Water",70,20,50,40,20,50,2,FALSE,4,85,88
"184","Azumarill","Water",100,50,80,50,60,80,2,FALSE,8,285,189
"185","Sudowoodo","Rock",70,100,115,30,30,65,2,FALSE,12,380,144
"186","Politoed","Water",90,75,75,70,90,100,2,FALSE,11,339,225
"187","Hoppip","Grass",35,35,40,50,35,55,2,FALSE,4,5,50
"188","Skiploom","Grass",55,45,50,80,45,65,2,FALSE,6,10,119
"189","Jumpluff","Grass",75,55,70,110,55,95,2,FALSE,8,30,207
"190","Aipom","Normal",55,70,55,85,40,55,2,FALSE,8,115,72
"191","Sunkern","Grass",30,30,30,30,30,30,2,FALSE,3,18,36
"192","Sunflora","Grass",75,75,55,30,105,85,2,FALSE,8,85,149
"193","Yanma","Bug",65,65,45,95,75,45,2,FALSE,12,380,78
"194","Wooper","Water",55,45,45,15,25,25,2,FALSE,4,85,42
"195","Quagsire","Water",95,85,85,35,65,65,2,FALSE,14,750,151
"196","Espeon","Psychic",65,65,60,110,130,95,2,FALSE,9,265,184
"197","Umbreon","Dark",95,65,110,65,60,130,2,FALSE,10,270,184
"198","Murkrow","Dark",60,85,42,91,85,42,2,FALSE,5,21,81
"199","Slowking","Water",95,75,80,30,100,110,2,FALSE,20,795,172
"200","Misdreavus","Ghost",60,60,60,85,85,85,2,FALSE,7,10,87
"201","Unown","Psychic",48,72,48,48,72,48,2,FALSE,5,50,118
"202","Wobbuffet","Psychic",190,33,58,33,33,58,2,FALSE,13,285,142
"203","Girafarig","Normal",70,80,65,85,90,65,2,FALSE,15,415,159
"204","Pineco","Bug",50,65,90,15,35,35,2,FALSE,6,72,58
"205","Forretress","Bug",75,90,140,40,60,60,2,FALSE,12,1258,163
"206","Dunsparce","Normal",100,70,70,45,65,65,2,FALSE,15,140,145
"207","Gligar","Ground",65,75,105,85,35,65,2,FALSE,11,648,86
"208","Steelix","Steel",75,85,200,30,55,65,2,FALSE,92,4000,179
"209","Snubbull","Fairy",60,80,50,30,40,40,2,FALSE,6,78,60
"210","Granbull","Fairy",90,120,75,45,60,60,2,FALSE,14,487,158
"211","Qwilfish","Water",65,95,75,85,55,55,2,FALSE,5,39,88
"212","Scizor","Bug",70,130,100,65,55,80,2,FALSE,18,1180,175
"213","Shuckle","Bug",20,10,230,5,10,230,2,FALSE,6,205,177
"214","Heracross","Bug",80,125,75,85,40,95,2,FALSE,15,540,175
"215","Sneasel","Dark",55,95,55,115,35,75,2,FALSE,9,280,86
"216","Teddiursa","Normal",60,80,50,40,50,50,2,FALSE,6,88,66
"217","Ursaring","Normal",90,130,75,55,75,75,2,FALSE,18,1258,175
"218","Slugma","Fire",40,40,40,20,70,40,2,FALSE,7,350,50
"219","Magcargo","Fire",50,50,120,30,80,80,2,FALSE,8,550,151
"220","Swinub","Ice",50,50,40,50,30,30,2,FALSE,4,65,50
"221","Piloswine","Ice",100,100,80,50,60,60,2,FALSE,11,558,158
"222","Corsola","Water",55,55,85,35,65,85,2,FALSE,6,50,144
"223","Remoraid","Water",35,65,35,65,65,35,2,FALSE,6,120,60
"224","Octillery","Water",75,105,75,45,105,75,2,FALSE,9,285,168
"225","Delibird","Ice",45,55,45,75,65,45,2,FALSE,9,160,116
"226","Mantine","Water",65,40,70,70,80,140,2,FALSE,21,2200,170
"227","Skarmory","Steel",65,80,140,70,40,70,2,FALSE,17,505,163
"228","Houndour","Dark",45,60,30,65,80,50,2,FALSE,6,108,66
"229","Houndoom","Dark",75,90,50,95,110,80,2,FALSE,14,350,175
"230","Kingdra","Water",75,95,95,85,95,95,2,FALSE,18,1520,243
"231","Phanpy","Ground",90,60,60,40,40,40,2,FALSE,5,335,66
"232","Donphan","Ground",90,120,120,50,60,60,2,FALSE,11,1200,175
"233","Porygon2","Normal",85,80,90,60,105,95,2,FALSE,6,325,180
"234","Stantler","Normal",73,95,62,85,85,65,2,FALSE,14,712,163
"235","Smeargle","Normal",55,20,35,75,20,45,2,FALSE,12,580,88
"236","Tyrogue","Fighting",35,35,35,35,35,35,2,FALSE,7,210,42
"237","Hitmontop","Fighting",50,95,95,70,35,110,2,FALSE,14,480,159
"238","Smoochum","Ice",45,30,15,65,85,65,2,FALSE,4,60,61
"239","Elekid","Electric",45,63,37,95,65,55,2,FALSE,6,235,72
"240","Magby","Fire",45,75,37,83,70,55,2,FALSE,7,214,73
"241","Miltank","Normal",95,80,105,100,40,70,2,FALSE,12,755,172
"242","Blissey","Normal",255,10,10,55,75,135,2,FALSE,15,468,608
"243","Raikou","Electric",90,85,75,115,115,100,2,TRUE,19,1780,261
"244","Entei","Fire",115,115,85,100,90,75,2,TRUE,21,1980,261
"245","Suicune","Water",100,75,115,85,90,115,2,TRUE,20,1870,261
"246","Larvitar","Rock",50,64,50,41,45,50,2,FALSE,6,720,60
"247","Pupitar","Rock",70,84,70,51,65,70,2,FALSE,12,1520,144
"248","Tyranitar","Rock",100,134,110,61,95,100,2,FALSE,20,2020,270
"249","Lugia","Psychic",106,90,130,110,90,154,2,TRUE,52,2160,306
"250","Ho-oh","Fire",106,130,90,90,110,154,2,TRUE,38,1990,306
"251","Celebi","Psychic",100,100,100,100,100,100,2,FALSE,6,50,270
"252","Treecko","Grass",40,45,35,70,65,55,3,FALSE,5,50,62
"253","Grovyle","Grass",50,65,45,95,85,65,3,FALSE,9,216,142
"254","Sceptile","Grass",70,85,65,120,105,85,3,FALSE,17,522,239
"255","Torchic","Fire",45,60,40,45,70,50,3,FALSE,4,25,62
"256","Combusken","Fire",60,85,60,55,85,60,3,FALSE,9,195,142
"257","Blaziken","Fire",80,120,70,80,110,70,3,FALSE,19,520,239
"258","Mudkip","Water",50,70,50,40,50,50,3,FALSE,4,76,62
"259","Marshtomp","Water",70,85,70,50,60,70,3,FALSE,7,280,142
"260","Swampert","Water",100,110,90,60,85,90,3,FALSE,15,819,241
"261","Poochyena","Dark",35,55,35,35,30,30,3,FALSE,5,136,56
"262","Mightyena","Dark",70,90,70,70,60,60,3,FALSE,10,370,147
"263","Zigzagoon","Normal",38,30,41,60,30,41,3,FALSE,4,175,56
"264","Linoone","Normal",78,70,61,100,50,61,3,FALSE,5,325,147
"265","Wurmple","Bug",45,45,35,20,20,30,3,FALSE,3,36,56
"266","Silcoon","Bug",50,35,55,15,25,25,3,FALSE,6,100,72
"267","Beautifly","Bug",60,70,50,65,100,50,3,FALSE,10,284,178
"268","Cascoon","Bug",50,35,55,15,25,25,3,FALSE,7,115,72
"269","Dustox","Bug",60,50,70,65,50,90,3,FALSE,12,316,173
"270","Lotad","Water",40,30,30,30,40,50,3,FALSE,5,26,44
"271","Lombre","Water",60,50,50,50,60,70,3,FALSE,12,325,119
"272","Ludicolo","Water",80,70,70,70,90,100,3,FALSE,15,550,216
"273","Seedot","Grass",40,40,50,30,30,30,3,FALSE,5,40,44
"274","Nuzleaf","Grass",70,70,40,60,60,40,3,FALSE,10,280,119
"275","Shiftry","Grass",90,100,60,80,90,60,3,FALSE,13,596,216
"276","Taillow","Normal",40,55,30,85,30,30,3,FALSE,3,23,54
"277","Swellow","Normal",60,85,60,125,50,50,3,FALSE,7,198,159
"278","Wingull","Water",40,30,30,85,55,30,3,FALSE,6,95,54
"279","Pelipper","Water",60,50,100,65,85,70,3,FALSE,12,280,154
"280","Ralts","Psychic",28,25,25,40,45,35,3,FALSE,4,66,40
"281","Kirlia","Psychic",38,35,35,50,65,55,3,FALSE,8,202,97
"282","Gardevoir","Psychic",68,65,65,80,125,115,3,FALSE,16,484,233
"283","Surskit","Bug",40,30,32,65,50,52,3,FALSE,5,17,54
"284","Masquerain","Bug",70,60,62,60,80,82,3,FALSE,8,36,159
"285","Shroomish","Grass",60,40,60,35,40,60,3,FALSE,4,45,59
"286","Breloom","Grass",60,130,80,70,60,60,3,FALSE,12,392,161
"287","Slakoth","Normal",60,60,60,30,35,35,3,FALSE,8,240,56
"288","Vigoroth","Normal",80,80,80,90,55,55,3,FALSE,14,465,154
"289","Slaking","Normal",150,160,100,100,95,65,3,FALSE,20,1305,252
"290","Nincada","Bug",31,45,90,40,30,30,3,FALSE,5,55,53
"291","Ninjask","Bug",61,90,45,160,50,50,3,FALSE,8,120,160
"292","Shedinja","Bug",1,90,45,40,30,30,3,FALSE,8,12,83
"293","Whismur","Normal",64,51,23,28,51,23,3,FALSE,6,163,48
"294","Loudred","Normal",84,71,43,48,71,43,3,FALSE,10,405,126
"295","Exploud","Normal",104,91,63,68,91,73,3,FALSE,15,840,221
"296","Makuhita","Fighting",72,60,30,25,20,30,3,FALSE,10,864,47
"297","Hariyama","Fighting",144,120,60,50,40,60,3,FALSE,23,2538,166
"298","Azurill","Normal",50,20,40,20,20,40,3,FALSE,2,20,38
"299","Nosepass","Rock",30,45,135,30,45,90,3,FALSE,10,970,75
"300","Skitty","Normal",50,45,45,50,35,35,3,FALSE,6,110,52
"301","Delcatty","Normal",70,65,65,70,55,55,3,FALSE,11,326,140
"302","Sableye","Dark",50,75,75,50,65,65,3,FALSE,5,110,133
"303","Mawile","Steel",50,85,85,50,55,55,3,FALSE,6,115,133
"304","Aron","Steel",50,70,100,30,40,40,3,FALSE,4,600,66
"305","Lairon","Steel",60,90,140,40,50,50,3,FALSE,9,1200,151
"306","Aggron","Steel",70,110,180,50,60,60,3,FALSE,21,3600,239
"307","Meditite","Fighting",30,40,55,60,40,55,3,FALSE,6,112,56
"308","Medicham","Fighting",60,60,75,80,60,75,3,FALSE,13,315,144
"309","Electrike","Electric",40,45,40,65,65,40,3,FALSE,6,152,59
"310","Manectric","Electric",70,75,60,105,105,60,3,FALSE,15,402,166
"311","Plusle","Electric",60,50,40,95,85,75,3,FALSE,4,42,142
"312","Minun","Electric",60,40,50,95,75,85,3,FALSE,4,42,142
"313","Volbeat","Bug",65,73,55,85,47,75,3,FALSE,7,177,151
"314","Illumise","Bug",65,47,55,85,73,75,3,FALSE,6,177,151
"315","Roselia","Grass",50,60,45,65,100,80,3,FALSE,3,20,140
"316","Gulpin","Poison",70,43,53,40,43,53,3,FALSE,4,103,60
"317","Swalot","Poison",100,73,83,55,73,83,3,FALSE,17,800,163
"318","Carvanha","Water",45,90,20,65,65,20,3,FALSE,8,208,61
"319","Sharpedo","Water",70,120,40,95,95,40,3,FALSE,18,888,161
"320","Wailmer","Water",130,70,35,60,70,35,3,FALSE,20,1300,80
"321","Wailord","Water",170,90,45,60,90,45,3,FALSE,145,3980,175
"322","Numel","Fire",60,60,40,35,65,45,3,FALSE,7,240,61
"323","Camerupt","Fire",70,100,70,40,105,75,3,FALSE,19,2200,161
"324","Torkoal","Fire",70,85,140,20,85,70,3,FALSE,5,804,165
"325","Spoink","Psychic",60,25,35,60,70,80,3,FALSE,7,306,66
"326","Grumpig","Psychic",80,45,65,80,90,110,3,FALSE,9,715,165
"327","Spinda","Normal",60,60,60,60,60,60,3,FALSE,11,50,126
"328","Trapinch","Ground",45,100,45,10,45,45,3,FALSE,7,150,58
"329","Vibrava","Ground",50,70,50,70,50,50,3,FALSE,11,153,119
"330","Flygon","Ground",80,100,80,100,80,80,3,FALSE,20,820,234
"331","Cacnea","Grass",50,85,40,35,85,40,3,FALSE,4,513,67
"332","Cacturne","Grass",70,115,60,55,115,60,3,FALSE,13,774,166
"333","Swablu","Normal",45,40,60,50,40,75,3,FALSE,4,12,62
"334","Altaria","Dragon",75,70,90,80,70,105,3,FALSE,11,206,172
"335","Zangoose","Normal",73,115,60,90,60,60,3,FALSE,13,403,160
"336","Seviper","Poison",73,100,60,65,100,60,3,FALSE,27,525,160
"337","Lunatone","Rock",70,55,65,70,95,85,3,FALSE,10,1680,161
"338","Solrock","Rock",70,95,85,70,55,65,3,FALSE,12,1540,161
"339","Barboach","Water",50,48,43,60,46,41,3,FALSE,4,19,58
"340","Whiscash","Water",110,78,73,60,76,71,3,FALSE,9,236,164
"341","Corphish","Water",43,80,65,35,50,35,3,FALSE,6,115,62
"342","Crawdaunt","Water",63,120,85,55,90,55,3,FALSE,11,328,164
"343","Baltoy","Ground",40,40,55,55,40,70,3,FALSE,5,215,60
"344","Claydol","Ground",60,70,105,75,70,120,3,FALSE,15,1080,175
"345","Lileep","Rock",66,41,77,23,61,87,3,FALSE,10,238,71
"346","Cradily","Rock",86,81,97,43,81,107,3,FALSE,15,604,173
"347","Anorith","Rock",45,95,50,75,40,50,3,FALSE,7,125,71
"348","Armaldo","Rock",75,125,100,45,70,80,3,FALSE,15,682,173
"349","Feebas","Water",20,15,20,80,10,55,3,FALSE,6,74,40
"350","Milotic","Water",95,60,79,81,100,125,3,FALSE,62,1620,189
"351","Castform","Normal",70,70,70,70,70,70,3,FALSE,3,8,147
"352","Kecleon","Normal",60,90,70,40,60,120,3,FALSE,10,220,154
"353","Shuppet","Ghost",44,75,35,45,63,33,3,FALSE,6,23,59
"354","Banette","Ghost",64,115,65,65,83,63,3,FALSE,11,125,159
"355","Duskull","Ghost",20,40,90,25,30,90,3,FALSE,8,150,59
"356","Dusclops","Ghost",40,70,130,25,60,130,3,FALSE,16,306,159
"357","Tropius","Grass",99,68,83,51,72,87,3,FALSE,20,1000,161
"358","Chimecho","Psychic",65,50,70,65,95,80,3,FALSE,6,10,159
"359","Absol","Dark",65,130,60,75,75,60,3,FALSE,12,470,163
"360","Wynaut","Psychic",95,23,48,23,23,48,3,FALSE,6,140,52
"361","Snorunt","Ice",50,50,50,50,50,50,3,FALSE,7,168,60
"362","Glalie","Ice",80,80,80,80,80,80,3,FALSE,15,2565,168
"363","Spheal","Ice",70,40,50,25,55,50,3,FALSE,8,395,58
"364","Sealeo","Ice",90,60,70,45,75,70,3,FALSE,11,876,144
"365","Walrein","Ice",110,80,90,65,95,90,3,FALSE,14,1506,239
"366","Clamperl","Water",35,64,85,32,74,55,3,FALSE,4,525,69
"367","Huntail","Water",55,104,105,52,94,75,3,FALSE,17,270,170
"368","Gorebyss","Water",55,84,105,52,114,75,3,FALSE,18,226,170
